X,Y,objectid,stationid,sampledate,latitude,longitude,stratum,areaweight,psa8,smcshed,county,location,agency,totalcount,totalbiodegradeable,totalbiohazard,totalconstruction,totalfabricandcloth,totalglass,totallarge,totalmetal,totalmisc,totalplastic,totaltoxic,aluminumfoil,aluminumorsteelcans,autoparts,balloons,biodegrageableother,biohazardother,bricks,cds_dvds,cellphone,ceramicpots_shards,chemicalcontainers,cigarettebutts,concrete_asphalt,constructionother,deadanimals,ewaste,expandedfoam,fabricother,foamballs,foamrubber,foodwaste,furniture,garbagebagsoftrash,glassbottles,glasspieces,hosepieces,humanwaste_diapers,largeother,lighters,metalbottlecaps,metalobject,metalpipe_barsegments,miscother,miscpieces_soft,nailsscrewsboltsetc,naturalcottonwool,nodebrispresent,papercardboard,pensormarkers,petwaste,plastic6packholder,plasticbags_pieces,plasticball,plasticbottles,plasticcontainercaps_pieces,plasticcups_plates,plastichard,plasticlid_straw,plasticmisc__pieces,plasticother,plasticpipe,plasticstrawwrapper,plasticwrapper_pieces,rebar,ribbon,rubberpieces,shoppingcarts,smallbatteries,softplasticpieces,sportsballs,spraypaintcans,styrofoampellets,styrofoampieces,styrofoamcontainers,syntheticfabric,syringesorpipettes,tarp,tires,toxicother,vinylrecord,waxpaper,waxedpapercups_plates,wire_barb_chicken_etc,wooddebris,yardwaste_leafpiles
-118.602959,34.234296,1,SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,South_Coast,LosAngeles,LOS ANGELES,Santa Susa Creek,Southern California Stormwater Monitoring Coalition,61,8,1,0,0,0,0,2,0,27,23,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,12,1,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-117.788723,33.672216,2,SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,South_Coast,LowerSantaAna,ORANGE,San Diego Creek,Southern California Stormwater Monitoring Coalition,31,1,0,0,8,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,0,2,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
-117.665955,33.490002,3,SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,South_Coast,SanJuan,ORANGE,Arroyo Trabuco Creek,Southern California Stormwater Monitoring Coalition,69,6,1,2,0,4,0,4,0,44,8,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,14,0,2,3,3,0,2,6,0,0,0,13,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-118.038364,33.91694,4,SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,South_Coast,SanGabriel,LOS ANGELES,Milan Creek,Southern California Stormwater Monitoring Coalition,80,11,0,0,4,3,0,0,4,42,16,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,11,0,0,0,14,0,0,0,0,0,0,7,0,0,0,11,0,0,3,0,0,0,0,0,0,9,0,3,0,1,0,0,0,0,0,0,0,0
-117.711855,33.590288,5,SMC01987,6/15/12,33.590288,-117.711855,Urban,4.74449965,South_Coast,SanJuan,ORANGE,Aliso Creek,Southern California Stormwater Monitoring Coalition,29,4,0,0,0,1,0,0,2,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,1,0,0,0,1,1,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-117.113274,32.796538,6,SMC01990,9/15/13,32.796538,-117.113274,Urban,1.86701805,South_Coast,MissionBaySanDiego,SAN DIEGO,,Coastkeepers,50,1,0,0,2,0,0,0,2,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,14,0,0,0,0,0,1,8,0,1,0,10,0,0,1,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,1,0,0,0
-118.165539,34.128683,7,SMC02028,7/12/12,34.128683,-118.165539,Urban,1.23126804,South_Coast,LosAngeles,LOS ANGELES,Arroyo Seco,Southern California Stormwater Monitoring Coalition,8,2,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
-118.259597,34.302261,8,SMC02088,6/14/11,34.302261,-118.259597,Open,0.73083398,South_Coast,LosAngeles,LOS ANGELES,Alder Creek,Southern California Stormwater Monitoring Coalition,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-118.206846,34.279482,9,SMC02092,6/14/11,34.279482,-118.206846,Open,2.37724297,South_Coast,LosAngeles,LOS ANGELES,Big Tujunga Creek,Southern California Stormwater Monitoring Coalition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-117.201677,34.108137,10,SMC02123,7/5/11,34.108137,-117.201677,Urban,1.61013307,South_Coast,UpperSantaAna,SAN BERNARDINO,City Creek,Southern California Stormwater Monitoring Coalition,12,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
