objectid,stationid,sampledate,trawlnumber,debristype,debriscount,comments,Plastic,Misc,Glass,Metal,Trash_present,lat,lon,final_stratum,areaweight
2270,B18-10237,43313,1,Cup,1,Yogurt container,1,0,0,0,1,33.96228333,-118.4767333,Inner Shelf,40.43039795
2276,B18-10267,43320,1,Can - other,1,Can fragment,0,0,0,0,1,33.2656,-117.5334,Mid Shelf,67.32610042
2277,B18-10269,43319,1,Other Plastic (comment req.),1,PVC pipe (1.2 kg),1,0,0,0,1,33.21766,-117.4805,Mid Shelf,67.32610042
2278,B18-10269,43319,1,Other Metal (comment req.),1,Tea pot - aluminum (0.3 kg),0,0,0,1,1,33.21766,-117.4805,Mid Shelf,67.32610042
2283,B18-10320,43349,1,Plastic Piece (unid.),1,Fish tag; Photo taken,1,0,0,0,1,33.76651667,-118.4604333,Outer Shelf,23.28776249
2284,B18-10348,43321,1,Food Bag/Wrapper,1,Foil on one side balloon (photo taken),1,0,0,0,1,33.69417,-118.34703,Upper Slope,125.2249344
2285,B18-10348,43321,1,Plastic Piece (unid.),1,Electrical tape (photo taken),1,0,0,0,1,33.69417,-118.34703,Upper Slope,125.2249344
2286,B18-10349,43319,2,None,0,No problem with trawl,0,0,0,0,0,33.09386,-117.417,Upper Slope,125.2249344
2287,B18-10350,43348,1,Plastic Piece (unid.),1,Small,1,0,0,0,1,33.05062,-117.3895,Upper Slope,125.2249344
2288,B18-10351,43349,1,Food Bag/Wrapper,1,"Small piece (1"" x 1""); Photo taken",1,0,0,0,1,32.70487,-117.3537,Upper Slope,125.2249344
2289,B18-10351,43349,1,Rag/Cloth,2,Cotton; Rib knit; Photo taken,0,1,0,0,1,32.70487,-117.3537,Upper Slope,125.2249344
2290,B18-10351,43349,1,Other Misc. (comment req.),1,49 cm; Cotton rope,0,1,0,0,1,32.70487,-117.3537,Upper Slope,125.2249344
2292,B18-10879,43350,1,Food Bag/Wrapper,1,,1,0,0,0,1,32.65979,-117.1684,Inner Shelf,40.43039795
2298,B18-10989,43348,1,Bag,1,,1,0,0,0,1,32.59962,-117.3434,Outer Shelf,23.28776249
2299,B18-10989,43348,1,Glass Bottle/Jar -other,1,,0,0,1,0,1,32.59962,-117.3434,Outer Shelf,23.28776249
2300,B18-10989,43348,1,Paper,2,,0,1,0,0,1,32.59962,-117.3434,Outer Shelf,23.28776249
2302,B18-10992,43350,1,Other Metal (comment req.),100,Count is a very rough estimate; Aluminum plane pieces (20.3 kg),0,0,0,100,1,33.92333333,-118.5675667,Outer Shelf,23.28776249
2303,B18-11032,43321,1,None,0,No problem with trawl,0,0,0,0,0,32.69303,-117.3948,Upper Slope,125.2249344
2305,B18-10001,43300,1,None,0,No problems with trawl,0,0,0,0,0,33.75935,-118.16285,Bays,0.269230769
2308,B18-10003,43300,1,Food Bag/Wrapper,1,1 small piece,1,0,0,0,1,33.7442,-118.1687667,Bays,0.269230769
2309,B18-10004,43300,1,None,0,No problems with trawl,0,0,0,0,0,33.74438333,-118.1402667,Bays,0.269230769
2312,B18-10006,43298,1,None,0,No problems with trawl,0,0,0,0,0,33.7409,-118.1752667,Bays,0.269230769
2314,B18-10007,43300,1,Bag,1,1 broken down piece of a grocery bag,1,0,0,0,1,33.73966667,-118.1714833,Bays,0.269230769
2315,B18-10007,43300,1,Tire,1,"16"" car tire from a tug boat",0,1,0,0,1,33.73966667,-118.1714833,Bays,0.269230769
