stationid,stratum,latitude,longitude,trawlnumber,type,biospecies,biomass
B18-10000,Bays,33.75935,-118.16285,1,Fish,Paralabrax nebulifer,0.8
B18-10000,Bays,33.75935,-118.16285,1,Fish,Trachurus symmetricus,less than 0.1
B18-10000,Bays,33.75935,-118.16285,1,Fish,Menticirrhus undulatus,0.4
B18-10000,Bays,33.75935,-118.16285,1,Fish,Pleuronichthys ritteri,less than 0.1
B18-10000,Bays,33.75935,-118.16285,1,Fish,Paralichthys californicus,0.2
B18-10000,Bays,33.75935,-118.16285,1,Fish,Xystreurys liolepis,less than 0.1
B18-10000,Bays,33.75935,-118.16285,1,Fish,Symphurus atricaudus,less than 0.1
B18-10000,Bays,33.75935,-118.16285,1,Fish,Engraulis mordax,less than 0.1
B18-10000,Bays,33.75935,-118.16285,1,Fish,Genyonemus lineatus,6.2
B18-10000,Bays,33.75935,-118.16285,1,Fish,Pleuronichthys guttulatus,0.3
B18-10000,Bays,33.75935,-118.16285,1,Fish,Atractoscion nobilis,less than 0.1
B18-10001,Bays,33.75286667,-118.1502833,1,Fish,Xystreurys liolepis,less than 0.1
B18-10001,Bays,33.75286667,-118.1502833,1,Fish,Porichthys myriaster,less than 0.1
B18-10001,Bays,33.75286667,-118.1502833,1,Fish,Genyonemus lineatus,0.1
B18-10002,Bays,33.7442,-118.1687667,1,Fish,Synodus lucioceps,0.7
B18-10002,Bays,33.7442,-118.1687667,1,Fish,Citharichthys stigmaeus,less than 0.1
B18-10002,Bays,33.7442,-118.1687667,1,Fish,Seriphus politus,0.8
B18-10002,Bays,33.7442,-118.1687667,1,Fish,Symphurus atricaudus,less than 0.1
B18-10002,Bays,33.7442,-118.1687667,1,Fish,Genyonemus lineatus,9.8
B18-10002,Bays,33.7442,-118.1687667,1,Fish,Paralichthys californicus,0.3
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Synodus lucioceps,less than 0.1
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Paralabrax nebulifer,less than 0.1
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Seriphus politus,0.8
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Symphurus atricaudus,0.4
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Genyonemus lineatus,2
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Xystreurys liolepis,less than 0.1
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Porichthys myriaster,less than 0.1
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Urobatis halleri,0.5
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Rhinobatos productus,1.2
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Pleuronichthys ritteri,less than 0.1
B18-10003,Bays,33.74438333,-118.1402667,1,Fish,Paralichthys californicus,2.4
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Seriphus politus,0.7
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Symphurus atricaudus,0.3
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Porichthys myriaster,0.5
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Paralichthys californicus,less than 0.1
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Genyonemus lineatus,3
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Pleuronichthys ritteri,less than 0.1
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Xystreurys liolepis,0.6
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Synodus lucioceps,0.6
B18-10004,Bays,33.74301667,-118.1530333,1,Fish,Paralabrax nebulifer,0.1
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Xystreurys liolepis,0.8
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Porichthys myriaster,less than 0.1
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Genyonemus lineatus,4.6
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Synodus lucioceps,0.4
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Paralichthys californicus,0.3
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Citharichthys stigmaeus,less than 0.1
B18-10005,Bays,33.7409,-118.1752667,1,Fish,Symphurus atricaudus,0.2
B18-10006,Bays,33.73966667,-118.1714833,1,Fish,Porichthys myriaster,less than 0.1
B18-10006,Bays,33.73966667,-118.1714833,1,Fish,Symphurus atricaudus,less than 0.1
B18-10006,Bays,33.73966667,-118.1714833,1,Fish,Synodus lucioceps,0.3
B18-10006,Bays,33.73966667,-118.1714833,1,Fish,Genyonemus lineatus,1.4
B18-10006,Bays,33.73966667,-118.1714833,1,Fish,Peprilus simillimus,less than 0.1
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Pleuronichthys verticalis,less than 0.1
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Genyonemus lineatus,6.2
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Peprilus simillimus,0.2
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Zaniolepis frenata,less than 0.1
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Porichthys myriaster,0.1
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Synodus lucioceps,0.3
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Xystreurys liolepis,0.8
B18-10007,Bays,33.73363333,-118.2111833,1,Fish,Symphurus atricaudus,0.1
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Synodus lucioceps,less than 0.1
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Citharichthys stigmaeus,0.1
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Paralabrax nebulifer,0.2
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Symphurus atricaudus,less than 0.1
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Genyonemus lineatus,11.6
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Zaniolepis latipinnis,less than 0.1
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Pleuronichthys verticalis,0.2
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Porichthys myriaster,0.2
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Scorpaena guttata,0.3
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Paralichthys californicus,1.4
B18-10008,Bays,33.73183333,-118.2044667,1,Fish,Seriphus politus,0.7
B18-10009,Bays,33.72918333,-118.1576667,NA,Fish,NA,NA
B18-10010,Bays,33.72888333,-118.1764333,NA,Fish,NA,NA
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Genyonemus lineatus,0.8
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Paralabrax nebulifer,0.1
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Citharichthys stigmaeus,less than 0.1
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Pleuronichthys ritteri,0.1
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Raja inornata,1.3
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Porichthys myriaster,0.2
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Paralichthys californicus,1.1
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Symphurus atricaudus,less than 0.1
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Synodus lucioceps,less than 0.1
B18-10011,Bays,33.72425,-118.2235333,1,Fish,Xystreurys liolepis,less than 0.1
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Genyonemus lineatus,0.3
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Xystreurys liolepis,1.2
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Symphurus atricaudus,less than 0.1
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Sebastes caurinus,less than 0.1
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Citharichthys stigmaeus,0.1
B18-10012,Bays,33.71331667,-118.2410833,1,Fish,Pleuronichthys verticalis,less than 0.1
