objectid,stationid,sampledate,trawlnumber,debristype,debriscount,comments
2269,B18-10231,8/8/2018 0:00,1,Kelp Stipe/Blade,2,Rotted blades
2270,B18-10237,8/1/2018 0:00,1,Cup,1,Yogurt container
2271,B18-10237,8/1/2018 0:00,1,Kelp Stipe/Blade,-88,Blades and fragments
2272,B18-10265,8/8/2018 0:00,1,Other Foliose Algae,-88,
2273,B18-10266,8/8/2018 0:00,1,Kelp Stipe/Blade,-88,Kelp blade fragments
2274,B18-10267,8/8/2018 0:00,1,Kelp Stipe/Blade,3,Kelp blade pieces
2275,B18-10267,8/8/2018 0:00,1,Other Foliose Algae,1,Piece of Egregia
2276,B18-10267,8/8/2018 0:00,1,Can - other,1,Can fragment
2277,B18-10269,8/7/2018 0:00,1,Other Plastic (comment req.),1,PVC pipe (1.2 kg)
2278,B18-10269,8/7/2018 0:00,1,Other Metal (comment req.),1,Tea pot - aluminum (0.3 kg)
2279,B18-10277,8/1/2018 0:00,1,Kelp Stipe/Blade,-88,Blades; few fragments
2280,B18-10278,8/1/2018 0:00,1,Foliose Algae - not kelp,-88,Fragments
2281,B18-10278,8/1/2018 0:00,1,Kelp Holdfast,2,
2282,B18-10278,8/1/2018 0:00,1,Kelp Stipe/Blade,-88,Fragments
2283,B18-10320,9/6/2018 0:00,1,Plastic Piece (unid.),1,Fish tag; Photo taken
2284,B18-10348,8/9/2018 0:00,1,Food Bag/Wrapper,1,Foil on one side balloon (photo taken)
2285,B18-10348,8/9/2018 0:00,1,Plastic Piece (unid.),1,Electrical tape (photo taken)
2286,B18-10349,8/7/2018 0:00,2,None,0,No problem with trawl
2287,B18-10350,9/5/2018 0:00,1,Plastic Piece (unid.),1,Small
2288,B18-10351,9/6/2018 0:00,1,Food Bag/Wrapper,1,"Small piece (1"" x 1""); Photo taken"
2289,B18-10351,9/6/2018 0:00,1,Rag/Cloth,2,Cotton; Rib knit; Photo taken
2290,B18-10351,9/6/2018 0:00,1,Other Misc. (comment req.),1,49 cm; Cotton rope
2291,B18-10875,8/9/2018 0:00,1,Kelp Stipe/Blade,1,Fragments
2292,B18-10879,9/7/2018 0:00,1,Food Bag/Wrapper,1,
2293,B18-10879,9/7/2018 0:00,1,Foliose Algae - not kelp,-88,Bryozoan mat
2294,B18-10879,9/7/2018 0:00,1,Kelp Stipe/Blade,2,
2295,B18-10879,9/7/2018 0:00,1,Seagrass,-88,
2296,B18-10925,8/9/2018 0:00,1,Kelp Stipe/Blade,1,Small fragments
2297,B18-10930,9/5/2018 0:00,1,Kelp Stipe/Blade,1,
2298,B18-10989,9/5/2018 0:00,1,Bag,1,
2299,B18-10989,9/5/2018 0:00,1,Glass Bottle/Jar -other,1,
2300,B18-10989,9/5/2018 0:00,1,Paper,2,
2301,B18-10992,9/7/2018 0:00,1,Other Marine (comment req.),68,Encrusting coral
2302,B18-10992,9/7/2018 0:00,1,Other Metal (comment req.),100,Count is a very rough estimate; Aluminum plane pieces (20.3 kg)
2303,B18-11032,8/9/2018 0:00,1,None,0,No problem with trawl
2304,B18-10000,7/19/2018 0:00,1,Kelp Stipe/Blade,1,1 Egregia strand
2305,B18-10001,7/19/2018 0:00,1,None,0,No problems with trawl
2306,B18-10002,7/30/2018 0:00,1,Kelp Stipe/Blade,1,1 blade of Macrocystis
2307,B18-10003,7/19/2018 0:00,1,Kelp Stipe/Blade,1,1 apical end of Macrocystis
2308,B18-10003,7/19/2018 0:00,1,Food Bag/Wrapper,1,1 small piece
2309,B18-10004,7/19/2018 0:00,1,None,0,No problems with trawl
2310,B18-10005,7/17/2018 0:00,1,Kelp Stipe/Blade,2,2 pieces of Macrocystis
2311,B18-10005,7/17/2018 0:00,1,Stick/Branch/Driftwood,1,1 stick
2312,B18-10006,7/17/2018 0:00,1,None,0,No problems with trawl
2313,B18-10007,7/19/2018 0:00,1,Kelp Stipe/Blade,3,"2 small pieces of Macrocystis, 1 small piece of other brown algae"
