Bight_2018,Bight_1998,Bight_2003,Bight_2008,Bight_2013
B18-10000,B98-2152,NA,B08-6478,B13-8388
B18-10002,NA,B03-4098,B08-6448,B13-8358
B18-10004,B98-2157,NA,B08-6444,B13-8355
B18-10006,B98-2156,NA,B08-6437,B13-8350
B18-10008,NA,B03-4370,NA,NA
B18-10009,NA,B03-4274,B08-6411,B13-8325
B18-10011,NA,B03-4242,B08-6404,B13-8318
B18-10012,B98-2162,NA,B08-6387,B13-8304
B18-10013,NA,B03-4178,B08-6386,B13-8302
B18-10017,NA,B03-4228,B08-6217,B13-8159
B18-10019,NA,B03-4020,B08-6212,B13-8152
B18-10022,NA,B03-4092,B08-6172,B13-8122
B18-10024,B98-2436,NA,B08-6152,B13-8109
B18-10032,NA,B03-4028,B08-6093,B13-8068
B18-10034,B98-2242,NA,B08-6080,B13-8060
B18-10036,NA,B03-4116,B08-6071,B13-8052
B18-10037,NA,B03-4148,B08-6040,B13-8029
B18-10046,B98-2130,NA,B08-6549,B13-8425
B18-10047,B98-2443,NA,B08-6530,B13-8417
B18-10050,B98-2448,NA,B08-6518,B13-8409
B18-10051,NA,B03-4085,B08-6513,B13-8407
B18-10053,NA,B03-4010,B08-6489,B13-8397
B18-10055,NA,B03-4018,B08-6472,B13-8383
B18-10059,B98-2136,NA,B08-6350,B13-8280
B18-10062,NA,B03-4065,B08-6343,B13-8273
B18-10073,B98-2423,NA,B08-6216,B13-8156
B18-10075,B98-2425,NA,B08-6211,B13-8151
B18-10077,B98-2434,NA,B08-6173,B13-8123
B18-10080,B98-2222,NA,B08-6161,B13-8117
B18-10081,NA,B03-4076,B08-6159,B13-8116
B18-10084,B98-2226,NA,B08-6145,B13-8102
B18-10086,NA,B03-4052,B08-6025,B13-8013
B18-10090,NA,B03-4266,B08-6487,B13-8396
B18-10094,NA,B03-4210,B08-6466,B13-8374
B18-10095,B98-2432,NA,B08-6463,B13-8371
B18-10096,NA,B03-4146,B08-6450,B13-8360
B18-10101,B98-2179,NA,B08-6435,B13-8347
B18-10106,NA,B03-4162,B08-6419,B13-8333
B18-10107,B98-2298,NA,B08-6413,B13-8326
B18-10108,B98-2182,NA,B08-6402,B13-8316
B18-10112,B98-2263,NA,B08-6155,B13-8112
B18-10113,NA,B03-4108,B08-6154,B13-8111
B18-10114,B98-2251,NA,B08-6140,B13-8100
B18-10116,B98-2252,NA,B08-6129,B13-8087
B18-10117,B98-2441,NA,B08-6128,B13-8085
B18-10140,NA,B03-4084,B08-6075,B13-8056
B18-10144,B98-2262,NA,B08-6054,B13-8045
B18-10145,NA,B03-4053,B08-6520,B13-8411
B18-10147,NA,B03-4142,B08-6500,B13-8403
B18-10149,NA,B03-4118,B08-6485,B13-8394
B18-10151,NA,B03-4194,B08-6468,B13-8378
B18-10153,NA,B03-4066,B08-6442,B13-8353
B18-10158,NA,B03-4075,B08-6363,B13-8292
B18-10159,NA,B03-4017,B08-6362,B13-8290
B18-10160,NA,B03-4072,B08-6355,B13-8287
B18-10167,NA,B03-4209,B08-6303,B13-8248
B18-10168,NA,B03-4304,B08-6271,B13-8222
B18-10169,NA,B03-4087,B08-6270,B13-8219
B18-10170,NA,B03-4049,B08-6269,B13-8218
B18-10176,NA,B03-4033,B08-6192,B13-8136
B18-10177,NA,B03-4264,B08-6181,B13-8129
B18-10182,NA,B03-4695,B08-6001,B13-8002
B18-10205,NA,B03-4055,NA,NA
B18-10206,B98-2359,NA,B08-7735,B13-9467
B18-10207,NA,B03-4047,B08-7728,B13-9466
B18-10209,NA,B03-4043,B08-7681,B13-9434
B18-10213,B98-2376,NA,B08-7629,B13-9397
B18-10214,NA,B03-4003,B08-7596,B13-9383
