stationid,lat,lon,final_stratum,Type,abandoned,Replaces,area_weight,region
B18-10000,33.75935,-118.16285,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10001,33.75286667,-118.1502833,Bays,New Site,No,,0.269230769,Los Angeles/Long Beach
B18-10002,33.7442,-118.1687667,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10003,33.74438333,-118.1402667,Bays,New Site,No,,0.269230769,Los Angeles/Long Beach
B18-10004,33.74301667,-118.1530333,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10005,33.7409,-118.1752667,Bays,New Site,No,,0.269230769,Los Angeles/Long Beach
B18-10006,33.73966667,-118.1714833,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10007,33.73363333,-118.2111833,Bays,New Site,No,,0.269230769,Los Angeles/Long Beach
B18-10008,33.73183333,-118.2044667,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10011,33.72425,-118.2235333,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10012,33.71331667,-118.2410833,Bays,Revisit,No,,0.269230769,Los Angeles/Long Beach
B18-10411,33.73616667,-118.2172833,Bays,Overdraw,No,B18-10010,0.269230769,Los Angeles/Long Beach
B18-10417,33.73116667,-118.1571833,Bays,Overdraw,No,B18-10009,0.269230769,Los Angeles/Long Beach
B18-10016,32.78485,-117.24055,Bays,New Site,No,,0.269230769,Mission Bay
B18-10017,32.78401,-117.2155,Bays,Revisit,No,,0.269230769,Mission Bay
B18-10019,32.76793,-117.24142,Bays,Revisit,No,,0.269230769,Mission Bay
B18-10022,32.72435424,-117.1829514,Bays,Revisit,No,,0.269230769,San Diego Bay
B18-10023,32.71750433,-117.2155607,Bays,New Site,No,,0.269230769,San Diego Bay
B18-10024,32.7148,-117.18302,Bays,Revisit,No,,0.269230769,San Diego Bay
B18-10030,32.68800855,-117.2299528,Bays,New Site,No,,0.269230769,San Diego Bay
B18-10034,32.66518062,-117.1499572,Bays,Revisit,No,,0.269230769,San Diego Bay
B18-10036,32.65847001,-117.1447356,Bays,Revisit,No,,0.269230769,San Diego Bay
B18-10037,32.64755,-117.11819,Bays,Revisit,No,,0.269230769,San Diego Bay
B18-10038,32.64283,-117.12626,Bays,New Site,No,,0.269230769,San Diego Bay
B18-10039,32.64157944,-117.139037,Bays,New Site,No,,0.269230769,San Diego Bay
B18-10042,32.62567,-117.11086,Bays,New Site,No,,0.269230769,San Diego Bay
B18-10205,34.40361,-119.81217,Inner Shelf,Revisit,No,,40.43039795,East Santa Barbara Channel
B18-10207,34.3960926,-119.6623071,Inner Shelf,Revisit,No,,40.43039795,East Santa Barbara Channel
B18-10208,34.33409,-119.43464,Inner Shelf,New Site,No,,40.43039795,East Santa Barbara Channel
B18-10210,34.24353,-119.38537,Inner Shelf,New Site,No,,40.43039795,East Santa Barbara Channel
B18-10211,34.22829,-119.35223,Inner Shelf,New Site,No,,40.43039795,East Santa Barbara Channel
B18-10212,34.19941,-119.29601,Inner Shelf,New Site,No,,40.43039795,East Santa Barbara Channel
B18-10213,34.17862,-119.34675,Inner Shelf,Revisit,No,,40.43039795,East Santa Barbara Channel
B18-10842,34.32716,-119.41375,Inner Shelf,New Site,No,,40.43039795,East Santa Barbara Channel
B18-10848,34.10945,-119.20938,Inner Shelf,New Site,No,,40.43039795,East Santa Barbara Channel
B18-10214,34.12478,-119.19244,Inner Shelf,Revisit,No,,40.43039795,Hueneme to Dume
B18-10215,34.10112,-119.1507,Inner Shelf,Revisit,No,,40.43039795,Hueneme to Dume
B18-10221,34.07996,-119.0598,Inner Shelf,Revisit,No,,40.43039795,Hueneme to Dume
B18-10231,33.30713,-117.5233,Inner Shelf,New Site,No,,40.43039795,North San Diego Shelf
B18-10862,33.68928909,-118.1919327,Inner Shelf,Overdraw,No,B18-10230,40.43039795,Orange Shelf
B18-10867,33.65991974,-118.0550537,Inner Shelf,New Site,No,,40.43039795,Orange Shelf
B18-10224,33.6952,-118.29596,Inner Shelf,Revisit,No,,40.43039795,Palos Verdes Shelf
B18-10875,33.1753,-117.4036,Inner Shelf,Overdraw,No,B18-10880,40.43039795,San Diego Shelf
B18-10220,33.73345184,-118.1221237,Inner Shelf,Revisit,No,,40.43039795,San Pedro Shelf
B18-10222,33.71036911,-118.2216797,Inner Shelf,New Site,No,,40.43039795,San Pedro Shelf
B18-10223,33.70500946,-118.1920471,Inner Shelf,New Site,No,,40.43039795,San Pedro Shelf
B18-10225,33.65961838,-118.1306763,Inner Shelf,Revisit,No,,40.43039795,San Pedro Shelf
B18-10226,33.64360046,-118.0789719,Inner Shelf,Revisit,No,,40.43039795,San Pedro Shelf
B18-10227,33.62779999,-117.9871292,Inner Shelf,Revisit,No,,40.43039795,San Pedro Shelf
B18-10228,33.61865997,-118.0413437,Inner Shelf,New Site,No,,40.43039795,San Pedro Shelf
B18-10218,34.02313333,-118.5934167,Inner Shelf,Revisit,No,,40.43039795,Santa Monica Bay
B18-10219,33.96228333,-118.4767333,Inner Shelf,Revisit,No,,40.43039795,Santa Monica Bay
B18-10237,32.65979,-117.1684,Inner Shelf,New Site,No,,40.43039795,South San Diego Shelf
B18-10879,32.66821,-117.206,Inner Shelf,Overdraw,No,B18-10235,40.43039795,South San Diego Shelf
B18-10838,34.4126,-119.89586,Inner Shelf,New Site,No,B18-10204,40.43039795,West Santa Barbara Channel
B18-10068,33.45762911,-117.6913958,Marinas,New Site,No,,0,Dana Point Harbor
B18-10071,33.20810109,-117.3969019,Marinas,New Site,No,,0,Oceanside Harbor
B18-10243,34.40102,-119.83283,Mid Shelf,Revisit,No,,67.32610042,East Santa Barbara Channel
B18-10244,34.3591,-119.82501,Mid Shelf,New Site,No,,67.32610042,East Santa Barbara Channel
B18-10245,34.3576,-119.67377,Mid Shelf,New Site,No,,67.32610042,East Santa Barbara Channel
B18-10246,34.3441,-119.56253,Mid Shelf,Revisit,No,,67.32610042,East Santa Barbara Channel
