"objectid","stationid","sampledate","trawlnumber","samplingorganization","debristype","debriscount","estimatecategory","comments","gdb_geomattr_data","shape","created_user","created_date","last_edited_user","last_edited_date","globalid"
2269,"B18-10231","2018-08-08 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","2.00000000","Not Recorded","Rotted blades",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{2A423AFE-E72A-4D47-91B2-EE7D71F5551D}"
2270,"B18-10237","2018-08-01 00:00:00",1,"City of San Diego","Cup","1.00000000","Not Recorded","Yogurt container",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{BF404C77-616B-488F-A49C-5A55838A8BAC}"
2271,"B18-10237","2018-08-01 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","-88.00000000","Moderate","Blades and fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{CCC5ABB4-EF78-4A40-ABE9-BD9CDF12B89F}"
2272,"B18-10265","2018-08-08 00:00:00",1,"City of San Diego","Other Foliose Algae","-88.00000000","Moderate","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{520516B2-6F2E-4154-8A9B-A84D2634F9F1}"
2273,"B18-10266","2018-08-08 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","-88.00000000","Moderate","Kelp blade fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{F9A5A5E8-1DA0-4948-89E5-E368F79C0749}"
2274,"B18-10267","2018-08-08 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","3.00000000","Not Recorded","Kelp blade pieces",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{A01CFA10-4A3B-4314-960B-61FB3F5AEC38}"
2275,"B18-10267","2018-08-08 00:00:00",1,"City of San Diego","Other Foliose Algae","1.00000000","Not Recorded","Piece of Egregia",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{FF92201D-3248-44BA-AD47-2224E2296D83}"
2276,"B18-10267","2018-08-08 00:00:00",1,"City of San Diego","Can - other","1.00000000","Not Recorded","Can fragment",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{4567928E-A2F4-4178-BF03-733E5C60755B}"
2277,"B18-10269","2018-08-07 00:00:00",1,"City of San Diego","Other Plastic (comment req.)","1.00000000","Not Recorded","PVC pipe (1.2 kg)",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{F1957724-DDDB-4E0B-A3FF-2F05299B886D}"
2278,"B18-10269","2018-08-07 00:00:00",1,"City of San Diego","Other Metal (comment req.)","1.00000000","Not Recorded","Tea pot - aluminum (0.3 kg)",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{021AFAA4-0F9C-4C0E-9E8F-4CFAEFC156E1}"
2279,"B18-10277","2018-08-01 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","-88.00000000","Moderate","Blades; few fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{56CD0533-A8E2-4ECA-A26C-CF0C07587809}"
2280,"B18-10278","2018-08-01 00:00:00",1,"City of San Diego","Foliose Algae - not kelp","-88.00000000","Moderate","Fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{7173AC7F-0FC8-4DAD-98D8-A84799FD29EF}"
2281,"B18-10278","2018-08-01 00:00:00",1,"City of San Diego","Kelp Holdfast","2.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{CA2E2373-1060-4EF2-8B0E-FED26576DBD6}"
2282,"B18-10278","2018-08-01 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","-88.00000000","Moderate","Fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{E88755F7-50E2-45A7-BA4D-EE534A174315}"
2283,"B18-10320","2018-09-06 00:00:00",1,"City of San Diego","Plastic Piece (unid.)","1.00000000","Not Recorded","Fish tag; Photo taken",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{44658854-C4C5-4790-9345-6238BB3E0EA4}"
2284,"B18-10348","2018-08-09 00:00:00",1,"City of San Diego","Food Bag/Wrapper","1.00000000","Not Recorded","Foil on one side balloon (photo taken)",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{C5639C15-4541-4CFE-8DAA-52D7C194EC06}"
2285,"B18-10348","2018-08-09 00:00:00",1,"City of San Diego","Plastic Piece (unid.)","1.00000000","Not Recorded","Electrical tape (photo taken)",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{F9745ABD-3AA1-4D0D-A6AF-44A1ED5245B2}"
2287,"B18-10350","2018-09-05 00:00:00",1,"City of San Diego","Plastic Piece (unid.)","1.00000000","Not Recorded","Small",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{E64F9521-EFE2-4DD5-9271-777FC3BC3178}"
2288,"B18-10351","2018-09-06 00:00:00",1,"City of San Diego","Food Bag/Wrapper","1.00000000","Not Recorded","Small piece (1"" x 1""); Photo taken",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{9DF671BE-7969-4DA6-B3F3-9592678A694E}"
2289,"B18-10351","2018-09-06 00:00:00",1,"City of San Diego","Rag/Cloth","2.00000000","Not Recorded","Cotton; Rib knit; Photo taken",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{D8FE6EC8-E09B-4D72-8C15-F0CED021466D}"
2290,"B18-10351","2018-09-06 00:00:00",1,"City of San Diego","Other Misc. (comment req.)","1.00000000","Not Recorded","49 cm; Cotton rope",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{18B72B91-2098-48D2-8CCD-65F257CD4030}"
2291,"B18-10875","2018-08-09 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","1.00000000","Not Recorded","Fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{CBAEF7AC-4995-4E54-A90F-237A2F69E647}"
2292,"B18-10879","2018-09-07 00:00:00",1,"City of San Diego","Food Bag/Wrapper","1.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{2012D83F-AA10-4236-9D76-293544696410}"
2293,"B18-10879","2018-09-07 00:00:00",1,"City of San Diego","Foliose Algae - not kelp","-88.00000000","Moderate","Bryozoan mat",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{175CBB5F-F1D8-439B-A7D6-15163FFB5D5E}"
2294,"B18-10879","2018-09-07 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","2.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{0D359DB6-45AE-4C23-A515-57687DBB7894}"
2295,"B18-10879","2018-09-07 00:00:00",1,"City of San Diego","Seagrass","-88.00000000","Moderate","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{1833F309-0CA6-43F2-BCB7-09BBB26619BF}"
2296,"B18-10925","2018-08-09 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","1.00000000","Not Recorded","Small fragments",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{9AB576DF-6462-4288-B659-F0F31469872B}"
2297,"B18-10930","2018-09-05 00:00:00",1,"City of San Diego","Kelp Stipe/Blade","1.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{9B7A34A7-21D6-4A9D-8EA3-58410970FFA3}"
2298,"B18-10989","2018-09-05 00:00:00",1,"City of San Diego","Bag","1.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{26758289-D784-424D-9C02-41F06AC81C06}"
2299,"B18-10989","2018-09-05 00:00:00",1,"City of San Diego","Glass Bottle/Jar -other","1.00000000","Not Recorded","",NULL,NULL,"checker","2018-11-29 11:14:07","checker","2018-11-29 11:14:07","{434FAD63-2647-41B4-A958-F4F1C8F495ED}"
