"objectid","gdb_geomattr_data","shape","stationid","sampleid","sampledate","samplingorganization","trawlnumber","fishspecies","sizeclass","abundancequalifier","abundance","anomaly","comments","globalid","created_user","created_date","last_edited_user","last_edited_date","diversityindexexclude","stincludedinanalysis"
37370,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Porichthys myriaster",15,"None",1,"None","","{B98BF3D4-8D0F-4990-A436-80024BBECAA5}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37371,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Porichthys myriaster",16,"None",1,"None","","{523E8AC0-0FE1-4BE3-9117-9D1C0B71A819}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37372,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Porichthys myriaster",17,"None",1,"None","","{F0B9BE3C-7788-4161-A671-D849C316D283}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37373,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Paralichthys californicus",24,"None",1,"None","","{2E084545-A561-4F17-8968-D14226C1FBE3}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37374,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Paralichthys californicus",43,"None",1,"None","","{DDD3914E-ABDA-42C0-AC94-E460C2ECA508}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37375,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Symphurus atricaudus",9,"None",1,"None","","{A80FBE79-51E3-4A4C-8736-BE341491C462}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37376,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Symphurus atricaudus",13,"None",1,"None","","{73FC4B07-E1AB-49CD-90D0-5F56270764E4}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37377,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Symphurus atricaudus",12,"None",2,"None","","{C8B90190-EFBE-4303-8F88-648B27D78871}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37378,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Symphurus atricaudus",11,"None",1,"None","","{A7376C77-96C2-4E9C-A783-1CDB4BD5DBDB}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37379,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Symphurus atricaudus",14,"None",1,"None","","{734D03FA-BEE1-44DA-889A-47FF30099DCC}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37383,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Parophrys vetulus",20,"None",1,"None","","{1ACBC389-6A79-4373-AD62-C4E43FF92581}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37381,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys sordidus",7,"None",1,"None","","{37F0E1D0-38E1-4141-BFCD-709EB67A0A74}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37382,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Citharichthys stigmaeus",6,"None",2,"None","","{F6DC3641-4341-471B-9A30-EDB08925A16B}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
37384,NULL,NULL,"A1","A1","2018-09-20 00:00:00","AMEC, Foster, & Wheeler / WOOD",1,"Xystreurys liolepis",13,"None",1,"None","","{9BD40C89-8595-4D26-BFA2-FE4C9818185B}","checker","2019-03-08 16:03:51","checker","2019-03-08 16:03:51","No","false"
