"objectid","stationid","latitude","longitude","stationwaterdepth","stationwaterdepthunits","areaweight","stratum","shape","point_x","point_y"
843,"GS00","99.00000000","99.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL
846,"E14","33.66570000","-117.32480000",NULL,NULL,NULL,NULL,NULL,NULL,NULL
862,"B8","32.75826000","-117.34618000",NULL,NULL,NULL,NULL,NULL,NULL,NULL
863,"I27","32.57444000","-117.19100000",NULL,NULL,NULL,NULL,NULL,NULL,NULL
847,"E26","33.73030000","-117.34280000",NULL,NULL,NULL,NULL,NULL,NULL,NULL
1495570344,"0000","0.00000000","0.00000000",1,"M","0.00000000","None",NULL,NULL,NULL
1495570343,"0","0.00000000","0.00000000",1,"M","0.00000000","None",NULL,NULL,NULL
1495570498,"B18-8002","32.55660000","-117.12800000",1,"M","0.09200924","Estuaries",NULL,NULL,NULL
1495570499,"B18-8008","32.55830000","-117.12100000",1,"M","0.09200924","Estuaries",NULL,NULL,NULL
1495570500,"B18-8013","32.62360000","-117.13300000",3,"M","0.25114157","Marina",NULL,NULL,NULL
1495570501,"B18-8014","32.62660000","-117.13400000",3,"M","0.25114157","Marina",NULL,NULL,NULL
1495570502,"B18-8017","32.63160000","-117.13100000",4,"M","3.21643623","Bay",NULL,NULL,NULL
1495570503,"B18-8018","32.63420000","-117.10700000",1,"M","0.27664165","Port",NULL,NULL,NULL
1495570504,"B18-8020","32.64180000","-117.13100000",5,"M","3.21643623","Bay",NULL,NULL,NULL
1495570505,"B18-8028","32.64660000","-117.11900000",12,"M","0.00000000","Bay",NULL,NULL,NULL
1495570506,"B18-8029","32.64690000","-117.11800000",10,"M","0.20086571","Bay",NULL,NULL,NULL
1495570507,"B18-8030","32.64730000","-117.11700000",13,"M","0.00000000","Bay",NULL,NULL,NULL
1495570508,"B18-8031","32.64760000","-117.12100000",13,"M","0.00000000","Port",NULL,NULL,NULL
1495570509,"B18-8033","32.64760000","-117.12000000",8,"M","0.00000000","Port",NULL,NULL,NULL
1495570510,"B18-8036","32.64790000","-117.11600000",12,"M","0.00000000","Estuaries",NULL,NULL,NULL
1495570511,"B18-8038","32.64830000","-117.11400000",12,"M","0.00000000","Estuaries",NULL,NULL,NULL
1495570512,"B18-8040","32.64920000","-117.11000000",4,"M","0.00000000","Estuaries",NULL,NULL,NULL
1495570513,"B18-8043","32.65030000","-117.10500000",3,"M","0.28851958","Estuaries",NULL,NULL,NULL
1495570514,"B18-8045","32.65160000","-117.12200000",12,"M","0.83119886","Port",NULL,NULL,NULL
1495570515,"B18-8049","32.65620000","-117.12200000",12,"M","0.00000000","Port",NULL,NULL,NULL
1495570516,"B18-8050","32.65770000","-117.12300000",12,"M","0.00000000","Port",NULL,NULL,NULL
1495570517,"B18-8052","32.65830000","-117.14400000",5,"M","3.21643623","Bay",NULL,NULL,NULL
1495570518,"B18-8053","32.65840000","-117.12000000",5,"M","0.00000000","Port",NULL,NULL,NULL
1495570519,"B18-8056","32.66060000","-117.12300000",10,"M","0.58549264","Port",NULL,NULL,NULL
1495570520,"B18-8058","32.66150000","-117.14400000",5,"M","3.21643623","Bay",NULL,NULL,NULL
1495570521,"B18-8060","32.66520000","-117.15000000",4,"M","3.21643623","Bay",NULL,NULL,NULL
1495570522,"B18-8064","32.67100000","-117.12400000",12,"M","0.00000000","Port",NULL,NULL,NULL
1495570523,"B18-8065","32.67160000","-117.11900000",7,"M","0.58549264","Port",NULL,NULL,NULL
1495570524,"B18-8066","32.67170000","-117.12500000",12,"M","0.00000000","Port",NULL,NULL,NULL
1495570525,"B18-8068","32.67550000","-117.14400000",5,"M","2.41020261","Bay",NULL,NULL,NULL
