stratum,Regions,total_area
Bays,Mission Bay,7.065851022
Bays,LA/Long Beach,29.82080832
Bays,SD bay,33.50318218
Bays,Total Intensive Area,70.38984152
Bays,Remaining Bays,0.101580548
Estuaries,Huntington harbor,0.144488937
Estuaries,bolsa chica wetlands,1.288742184
Estuaries,newport bay,1.132648574
Estuaries,talber marsh,0.186191497
Estuaries,Los Pen,0.005767527
Estuaries,Dominguez channel,0.151248153
Estuaries,San Diego Bay,0.037760256
Estuaries,Total Intensive Area,2.946847128
Estuaries,Remaining Estuaries,8.676143245
Ports,SD Bay,6.302604017
Ports,LA/Long Beach ,20.11369406
Ports,Huntington Harbor,0.381870916
Ports,Total Intensive Area,26.79816899
Ports,Remaining Ports,0.413681416
Marinas,Mission Bay,0.998515143
Marinas,Newport Bay,3.364323124
Marinas,Ocean Side Harbor,0.802995623
Marinas,Dana Point Harbor,0.45011668
Marinas,San Diego Bay,3.464317436
Marinas,Total Intensive Area,9.080268007
Marinas,Remaining Marinas,7.481222462
InnerShelf,SD Inner Shelf,293.1203852
InnerShelf,Other Inner Shelf,879.3611555
MidShelf,SD Mid-Shelf,504.9457531
MidShelf,Other Mid-Shelf,1514.837259
OuterShelf,SD outer shelf,151.3704562
OuterShelf,Other Outer shelf,454.1113686
