objectid,stationid,trawltime
1897,B18-10006,7
1898,B18-10005,6
1899,B18-10008,6
1900,B18-10012,6
1901,B18-10007,6
1902,B18-10003,7
1903,B18-10004,7
1910,B18-10329,0
1918,B18-10001,6
1919,B18-10000,6
1920,B18-10417,6
1921,B18-10002,6
1922,B18-10411,6
1923,B18-10011,6
1925,B18-10331,0
1930,B18-10300,0
1982,B18-10880,9
1987,B18-10250,9
2004,B18-10228,9
2020,B18-10220,6
2022,B18-10913,8
2054,B18-10330,0
2057,B18-10068,9
2058,B18-10017,6
2060,B18-10016,6
2061,B18-10016,2
2063,B18-10039,7
2068,B18-10023,9
2070,B18-10071,6
