objectid,stationid,sampledate,overlatitude,overlongitude,startlatitude,startlongitude,endlatitude,endlongitude,startdepth_in_meters,enddepth,decklatitude,decklongitude,trawlfail,ptsensor,onbottomtemp,comments,overtime,starttime,endtime,decktime,onbottomtime,trawloverdistance,trawldeckdistance,trawldistance,trawlovertime,trawldecktime,trawltimetobottom,trawltime,trawldistancetonominaltarget,wireout
1895,B18-10308,9/18/2018 0:00,33.90838333,-118.6086333,33.91085,-118.5949167,33.9127,-118.5868167,171,172,33.91338333,-118.5819,None,Yes,9,,8:39:29,8:50:58,9:03:05,9:14:28,0:08:08,1295.186369,460.0240503,775.2613722,12,12,2.16586349,13,4.19213329,598
1896,B18-10255,9/18/2018 0:00,33.86968333,-118.5369667,33.8667,-118.5295667,33.86413333,-118.5232,70,68.5,33.86361667,-118.5208,None,Yes,12,,10:47:21,10:54:12,11:04:35,11:11:41,0:09:42,759.5002496,228.9233563,653.4580347,7,8,2.38087853,11,0.13677977,319
1897,B18-10006,7/17/2018 0:00,33.73991667,-118.1670167,33.73986667,-118.17045,33.73988333,-118.1742167,11,11,33.7398,-118.17525,None,Yes,19,Trawl went a little long due to winch gear taking more time than usual to engage.,8:31:49,8:33:54,8:40:03,8:42:47,0:08:02,317.5153158,95.99625247,348.2942812,3,3,3.64960133,7,7.83474754,87
1898,B18-10005,7/17/2018 0:00,33.745,-118.1767,33.74226667,-118.1756333,33.73975,-118.1742167,11,11,33.73923333,-118.1738167,None,Yes,19,,9:26:05,9:28:19,9:33:23,9:35:56,0:04:48,319.5342182,68.32743425,308.9816835,3,3,3.67280711,6,27.79195498,87
1899,B18-10008,7/17/2018 0:00,33.7347,-118.20845,33.73256667,-118.2058667,33.73071667,-118.2025833,20,20,33.73028333,-118.2014,None,Yes,17,,10:11:38,10:13:50,10:19:20,10:23:01,0:04:48,336.6579817,119.5688878,366.7507472,3,4,2.55043926,6,7.50669728,132
1900,B18-10012,7/17/2018 0:00,33.71155,-118.2466,33.71275,-118.2425167,33.71401667,-118.2392833,24,23.5,33.71485,-118.2379333,None,Yes,16,,12:30:22,12:33:14,12:38:37,12:42:43,0:04:50,400.5690923,155.4922521,330.5735003,3,5,2.70654792,6,23.02974244,148
1901,B18-10007,7/19/2018 0:00,33.73186667,-118.21625,33.7329,-118.2132333,33.7341,-118.2096833,19,19.5,33.73436667,-118.2084833,None,Yes,17,,8:31:37,8:33:40,8:38:55,8:42:19,0:04:46,301.7005831,114.8601765,354.3611045,3,4,2.35703581,6,17.17415294,128
1902,B18-10003,7/19/2018 0:00,33.74203333,-118.13685,33.74305,-118.13885,33.74516667,-118.1423667,7,7,33.74556667,-118.1427833,None,Yes,20,,9:54:18,9:55:49,10:02:32,10:04:34,0:06:32,216.7435851,58.84227314,401.400855,2,3,3.44037437,7,12.53372166,63
1903,B18-10004,7/19/2018 0:00,33.74126667,-118.1497667,33.74208333,-118.1519667,33.74371667,-118.1559667,9.5,9.5,33.74415,-118.1567833,None,Yes,19,Trawl went a little long due to winch gear taking more time than usual to engage.,11:08:22,11:09:53,11:16:35,11:19:03,0:06:50,222.7697579,89.57365467,412.038322,2,3,2.85602254,7,13.0819096,78
1904,B18-10242,8/2/2018 0:00,34.42671,-120.0669,34.42495,-120.06216,34.42326,-120.05528,71,70,34.42293,-120.05066,None,Yes,10.96,,11:19:00,11:25:00,11:35:00,11:45:00,12:40:00,476.7705108,425.346497,658.4333394,6,10,1.36220146,10,11.91644269,350
1905,B18-10279,8/2/2018 0:00,34.41716,-120.23085,34.4175,-120.2218,34.41826,-120.21318,158,150,34.41891,-120.20588,Improper Bottom Time,Yes,9.8,Didn't make bottom contact,8:40:00,8:49:00,8:59:00,9:13:00,0:30:00,831.0117647,673.5041784,795.2056546,9,14,1.51093048,10,0.15310785,550
