objectid,stationid,sampledate,latitude,longitude,watershed,river_sitedescription,debriscategory,debrisitem,resulttotal
104,402M00114,6/14/18,34.41651,-119.37159,Ventura,Coyote Creek,Plastic,Plastic Other,1
102,403M01565,6/13/18,34.37854,-119.06269,Santa Clara,Santa Paula Creek,None,No Trash Present,0
103,403M01626,6/13/18,34.43706,-119.08643,Santa Clara,Santa Paula Creek,None,No Trash Present,0
114,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Plastic,Chip Bags,1
119,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Miscellaneous,Misc. Other,1
112,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Plastic,Bag - single use,3
113,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Plastic,Beverage Bottles,3
118,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Miscellaneous,Sports Balls,3
115,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Plastic,Soft Plastic Pieces,1
116,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Plastic,Wrapper/Wrapper Pieces,1
117,404M04624,6/19/18,34.17964,-118.78851,Santa Monica Bay,Lindero Creek,Glass,Glass Pieces,1
169,405CE0280,7/2/18,34.23186,-117.74841,San Gabriel,Cattle Canyon,Metal,Aluminum or Steel Cans,2
168,405CE0280,7/2/18,34.23186,-117.74841,San Gabriel,Cattle Canyon,Plastic,Wrapper/Wrapper Pieces,1
107,408M03115,6/19/18,34.26757,-118.94305,Calleguas,Arroyo Los Posas,Plastic,Bag Pieces,2
108,408M03115,6/19/18,34.26757,-118.94305,Calleguas,Arroyo Los Posas,Plastic,Tarp,1
109,408M03115,6/19/18,34.26757,-118.94305,Calleguas,Arroyo Los Posas,Plastic,Plastic Other,1
111,408M03115,6/19/18,34.26757,-118.94305,Calleguas,Arroyo Los Posas,Metal,Aluminum Foil pieces,1
106,408M03115,6/19/18,34.26757,-118.94305,Calleguas,Arroyo Los Posas,Plastic,Bag - single use,4
110,408M03115,6/19/18,34.26757,-118.94305,Calleguas,Arroyo Los Posas,Large,Tires,2
125,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Foam Pieces/Pellets,3
123,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Container Cap/Pieces,1
134,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Miscellaneous,Misc. Other,1
133,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Metal,Metal Other,1
122,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Bag - single use,5
127,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Soft Plastic Pieces,2
124,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Foam Plate,1
128,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Wrapper/Wrapper Pieces,28
126,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Hard Plastic Pieces,2
131,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Metal,Aluminum Foil pieces,1
130,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Biodegradable,Paper/ cardboard,7
132,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Metal,Spray Paint Cans,1
129,410M01628,6/28/18,34.16241,-119.16633,Santa Clara,NA,Plastic,Plastic Other,1
412,412CE0232,5/30/18,34.15823,-118.45476,Los Angeles,Los Angeles River,Plastic,Foam Packing Peanuts,1
415,412CE0232,5/30/18,34.15823,-118.45476,Los Angeles,Los Angeles River,Plastic,Straw/Stirrer,1
413,412CE0232,5/30/18,34.15823,-118.45476,Los Angeles,Los Angeles River,Plastic,Foam Pieces/Pellets,1
417,412CE0232,5/30/18,34.15823,-118.45476,Los Angeles,Los Angeles River,Fabric_Cloth,Fabric Other,1
414,412CE0232,5/30/18,34.15823,-118.45476,Los Angeles,Los Angeles River,Plastic,Soft Plastic Pieces,1
419,412CE0232,5/30/18,34.15823,-118.45476,Los Angeles,Los Angeles River,Miscellaneous,E-waste,1
