stationid,sampledate,latitude,longitude,trashcategory,trashtype,total_counts,areaweight
402M00058,6/10/19 00:00,34.44709,-119.44704,Plastic,Plastic Other,1,19.86655861
402M00110,6/10/19 00:00,34.42541,-119.30264,Biodegradable,Paper/ cardboard,1,19.86655861
402M00110,6/10/19 00:00,34.42541,-119.30264,Metal,Aluminum or Steel Cans,1,19.86655861
402M00110,6/10/19 00:00,34.42541,-119.30264,Plastic,Plastic Other,1,19.86655861
402M00110,6/10/19 00:00,34.42541,-119.30264,Plastic,Bag Pieces,2,19.86655861
402M00110,6/10/19 00:00,34.42541,-119.30264,Metal,Metal Pipe/Bar Segments,1,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Plastic,Bag - single use,2,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Plastic,Bag Pieces,9,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Plastic,Beverage Bottles,1,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Construction,Concrete/Asphalt,1,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Plastic,Plastic Other,7,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Fabric_Cloth,"Natural (Cotton, Wool)",8,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Fabric_Cloth,Tent/Sleeping bag,1,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Construction,Construction Other,2,19.86655861
402M00127,6/10/19 00:00,34.42536,-119.26172,Metal,Aluminum or Steel Cans,1,19.86655861
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Bag Pieces,9,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Soft Plastic Pieces,4,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Chip Bags,2,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Cups,1,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Single Use Container,1,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Bag - single use,2,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Metal,Aluminum Foil pieces,3,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Metal,Metal Pipe/Bar Segments,1,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Wrapper/Wrapper Pieces,6,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Plastic,Plastic Other,1,85.23642372
403M01560,5/15/19 00:00,34.23473,-119.21513,Metal,Aluminum or Steel Cans,1,85.23642372
403M01571,6/19/19 00:00,34.58629,-119.27823,Fabric_Cloth,Tent/Sleeping bag,1,85.23642372
403M05832,6/27/19 00:00,34.5506,-118.50896,Glass,Glass Bottles,1,85.23642372
403M05844,6/20/19 00:00,34.59379,-118.56245,Plastic,Plastic Bottles,1,85.23642372
403M05844,6/20/19 00:00,34.59379,-118.56245,Fabric_Cloth,Synthetic Fabric,1,85.23642372
403M05844,6/20/19 00:00,34.59379,-118.56245,Plastic,Plastic Other,1,85.23642372
403M05844,6/20/19 00:00,34.59379,-118.56245,Plastic,Foam Pieces/Pellets,4,85.23642372
403M05844,6/20/19 00:00,34.59379,-118.56245,Miscellaneous,Hose/Hose Pieces,1,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Plastic,Bag - single use,3,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Glass,Glass Pieces,1,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Plastic,Beverage Bottles,3,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Plastic,Chip Bags,1,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Miscellaneous,Misc. Other,1,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Plastic,Wrapper/Wrapper Pieces,1,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Plastic,Soft Plastic Pieces,1,85.23642372
404M04624,6/19/18 00:00,34.17964,-118.78851,Miscellaneous,Sports Balls,3,85.23642372
404M04674,5/9/19 00:00,34.14705,-118.84936,Miscellaneous,Sports Balls,1,19.86655861
404M07372,7/9/19 00:00,34.13727,-118.75703,Plastic,Plastic Bottles,2,85.23642372
404M07372,7/9/19 00:00,34.13727,-118.75703,Metal,Aluminum or Steel Cans,2,85.23642372
404M07372,7/9/19 00:00,34.13727,-118.75703,Metal,"Wire (barb, chicken, etc.)",1,85.23642372
404M07372,7/9/19 00:00,34.13727,-118.75703,Plastic,Chips bags,1,85.23642372
404M07372,7/9/19 00:00,34.13727,-118.75703,Plastic,Bag - single use,2,85.23642372
404M07372,7/9/19 00:00,34.13727,-118.75703,Biodegradable,Paper/ cardboard,1,85.23642372
404M07372,7/9/19 00:00,34.13727,-118.75703,Plastic,Bag Pieces,3,85.23642372
404M07375,5/14/19 00:00,34.09049,-118.66854,Metal,Aluminum or Steel Cans,1,85.23642372
404M07375,5/14/19 00:00,34.09049,-118.66854,Plastic,Plastic Other,1,85.23642372
404M07376,7/9/19 00:00,34.08211,-118.69048,Plastic,Plastic Pipe,1,85.23642372
404M07376,7/9/19 00:00,34.08211,-118.69048,Construction,Bricks,2,85.23642372
405CE0280,7/2/18 00:00,34.23186,-117.74841,Metal,Aluminum or Steel Cans,2,85.23642372
405CE0280,7/2/18 00:00,34.23186,-117.74841,Plastic,Wrapper/Wrapper Pieces,1,85.23642372
