"objectid","stationid","sampledate","photolocation","photoid","comments","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","globalid"
1,"902WE0888","2018-05-17 00:00:00","Bottom-Upstream","Ads_902WE0888_5.17.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{BE81D305-71FC-4B3A-816C-D598ABB8400E}"
2,"902WE0888","2018-05-17 00:00:00","Middle-Downstream","Bds_902WE0888_5.17.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{B7510537-7562-4647-9A53-DFBD63D94421}"
3,"902WE0888","2018-05-17 00:00:00","Middle-Upstream","Bus_902WE0888_5.17.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{5B1826CB-1411-46D4-BDDA-6C2992AC364A}"
4,"902WE0888","2018-05-17 00:00:00","Top-Downstream","Cus_902WE0888_5.17.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{FC3A8172-9C78-4876-8A98-342D72784ECC}"
5,"907M23367","2018-05-29 00:00:00","Bottom-Upstream","Ads_907M23367 _5.29.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{8F7498A2-859D-4602-B7E2-2A0A8F60538B}"
6,"907M23367","2018-05-29 00:00:00","Middle-Downstream","Bds_907M23367_5.29.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{99D3FC36-4BB5-4B15-8EDF-42BF57908BE5}"
7,"907M23367","2018-05-29 00:00:00","Middle-Upstream","Bus_907M23367_5.29.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{04248788-C0FD-4A38-A0B4-416F1494FAAD}"
8,"907M23367","2018-05-29 00:00:00","Top-Downstream","Cus_907M23367_5.29.18","transect C facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{67F7E2B2-AC8E-47F9-AD0A-B9C49944A99D}"
9,"903M20230","2018-05-08 00:00:00","Bottom-Upstream","Ads_903M20230_5.8.18","transect A facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{67312628-2FAF-4F0F-A4A0-7D783478259B}"
10,"903M20230","2018-05-08 00:00:00","Middle-Downstream","Bds_903M20230_5.8.18","transect B facing downstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6F084D1B-9615-4504-9ECD-C7B612715479}"
11,"903M20230","2018-05-08 00:00:00","Middle-Upstream","Bus_903M20230-5.8.18","transect B facing upstream","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{A179A1CF-29FF-4E8C-9F5B-05D3D2296E42}"
