"objectid","stationid","sampledate","starttime","endtime","latitude","longitude","datum","fieldcrew","river_sitedescription","watershed","leftbankaccess","rightbankaccess","channeltype","sitetype","streamflowing","reachlength","wettedwidth_a","wettedwidth_b","wettedwidth_c","bankfullwidth_a","bankfullwidth_b","bankfullwidth_c","trashpickedup","numberoutfalls_18_24","numberoutfalls_25_36","numberoutfalls_37_48","numberoutfalls_greater48","trashatoutfalls","amountoftrash","homelessencampment","comments","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_project","login_year","login_agency","login_owner"
1,"402M00066","2018-07-23 00:00:00","00:00","00:00","34.29588000","-119.30627000","WGS84","Brianna Jones, Kelly Hahs","Ventura River","Ventura","Moderate","Hard","Natural","Probabilistic","Yes","30.00000000","6.30000000","6.70000000","5.20000000","14.30000000","7.50000000","9.70000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","NA","No","","{A0C44E78-4E06-4622-9B6D-1362D16621B8}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
2,"402M00082","2018-07-23 00:00:00","00:00","00:00","34.28702000","-119.30888000","WGS84","Brianna Jones, Kelly Hahs","Ventura River","Ventura","Moderate","Hard","Natural","Probabilistic","Yes","30.00000000","9.30000000","9.80000000","10.00000000","10.80000000","14.80000000","12.00000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","NA","No","Regularly cleaned up","{A727A6B0-6D6B-42A6-B6F8-9EE33BEA41DB}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
3,"402M00114","2018-06-14 00:00:00","08:40","08:50","34.41651000","-119.37159000","WGS84","Brianna Jones, Kelly Hahs","Coyote Creek","Ventura","Hard","Hard","Natural","Probabilistic","Yes","30.00000000","1.43000000","1.10000000","2.12000000","12.00000000","9.00000000","9.50000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","NA","No","","{AF8F53FC-943A-4F2F-A631-917897B2313F}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
4,"403M01565","2018-06-13 00:00:00","11:45","12:00","34.37854000","-119.06269000","WGS84","Karin Wisenbaker, Noel DeJesus, Kelly Hahs","Santa Paula Creek","Santa Clara","Hard","Hard","Natural","Probabilistic","Yes","30.00000000","2.00000000","3.24000000","3.35000000","9.00000000","7.40000000","7.00000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","NA","No","","{D8D6EF46-42D2-4CF7-8B8A-DB06741DE023}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
5,"403M01626","2018-06-13 00:00:00","08:00","08:15","34.43706000","-119.08643000","WGS84","Karin Wisenbaker, Noel DeJesus, Kelly Hahs","Santa Paula Creek","Santa Clara","Easy","Easy","Natural","Probabilistic","Yes","30.00000000","4.04000000","3.68000000","2.50000000","7.00000000","8.50000000","9.50000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","NA","No","No trash","{AB33203F-6D3E-4E13-AFFF-8B07B1BB458A}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
6,"403M05798","2018-05-15 00:00:00","00:00","00:00","34.36330000","-118.42772000","NAD83","DO/NC","Placerita Canyon Tributary","Santa Clara","Moderate","Moderate","Natural","Probabilistic","Yes","30.00000000","0.50000000","0.70000000","0.80000000","5.20000000","4.30000000","3.80000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","<10","No","","{9234CFD4-06BB-4BD0-86A7-D6BAC3B6DD6E}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
7,"403M05800","2018-05-16 00:00:00","00:00","00:00","34.52695000","-118.52677000","NAD83","DO/NC","Drinkwater Canyon","Santa Clara","Moderate","Moderate","Concrete/Earthen","Probabilistic","Yes","30.00000000","1.20000000","1.40000000","2.40000000","4.50000000","2.30000000","3.70000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","<10","No","","{E9FCAD56-3A1C-49A9-9BF4-AFCBB0F35543}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
8,"403WE0682","2018-06-05 00:00:00","10:00","00:00","34.56862000","-118.39258000","WGS84","Billy Jakl","","Santa Clara","NR","","NR","Probabilistic","Yes","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","No","-88.00000000","-88.00000000","-88.00000000","-88.00000000","","","","","{2825172D-E0E2-4D26-89D3-DF4D8ABCBA74}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
9,"403WE0683","2018-06-05 00:00:00","15:00","00:00","34.44038000","-119.07685000","WGS84","Billy Jakl","","Santa Clara","NR","","NR","Probabilistic","Yes","30.00000000","7.80000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","-88.00000000","No","-88.00000000","-88.00000000","-88.00000000","-88.00000000","","","","","{B868CAF2-8434-4B9E-A84A-6AD73EBF1B65}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
10,"404M04624","2018-06-19 00:00:00","08:00","08:15","34.17964000","-118.78851000","WGS84","Alexis Wallengren, Kelly Hahs, Bill","Lindero Creek","Santa Monica Bay","Easy","Easy","Natural","Probabilistic","Yes","30.00000000","5.00000000","2.90000000","0.40000000","7.00000000","4.00000000","3.50000000","No","0.00000000","0.00000000","0.00000000","0.00000000","NA","NA","No","","{E33192C4-138F-499B-A3C9-E7ED85A2623E}","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","SMC","2019","ABCL","Carlsbad_WMA"
