"objectid","stationid","sampledate","sitescore30m","sitescore100m","comments","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project","globalid"
1,"902WE0888","2018-05-17 00:00:00","2.00000000","2.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{3E1D72AB-673B-4C1B-BE4F-02838C82FB11}"
2,"907M23367","2018-05-29 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{EDB8D7E0-E7DF-4C67-9116-B1CF1901F356}"
3,"903M20230","2018-05-08 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{1E660184-A0AD-4F5E-BBA0-E18823DD9910}"
4,"903M20235","2018-06-02 00:00:00","2.00000000","2.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{9670EF7D-4F9B-4321-B194-F0C995E41FB2}"
5,"907M23349","2018-05-09 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{4A2037E9-CDD5-48C8-B629-519807EAA79C}"
6,"903M20214","2018-05-08 00:00:00","4.00000000","4.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{5A9719A9-33FB-4AE3-90BA-AD259ECCD7E7}"
7,"907M23379","2018-05-30 00:00:00","5.00000000","5.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{EB0ED1B8-E319-4159-82D2-F149BC99E417}"
8,"SMC09698","2018-06-05 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{30FDBF63-F98A-4789-84F4-AEE2C085CAAC}"
9,"SMC11581","2018-06-05 00:00:00","5.00000000","5.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{939B6577-B4E6-4FF6-B8C1-40755A248B8A}"
10,"801M16976","2018-06-06 00:00:00","8.00000000","7.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{224BEC1B-D434-4319-A852-FAE8D6C5946A}"
11,"801M16973","2018-06-06 00:00:00","5.00000000","5.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{60F8E015-DFB0-4C97-B14B-0DCB6F975590}"
12,"408BA0660","2018-06-11 00:00:00","2.00000000","2.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{E142AAB6-754E-4E9D-9FC9-85768E1AE0EE}"
13,"SMC00036","2018-06-11 00:00:00","4.00000000","4.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{12C004F0-7110-48E1-9B94-ACC92C025A0E}"
14,"403M01626","2018-06-13 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{4304C3B8-5292-46F1-9CDA-68E9F348D806}"
15,"403M01565","2018-06-13 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{08DCF678-EB7F-4A46-9307-0F3E08684C4B}"
16,"402M00114","2018-06-14 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6C0F04BE-A159-4FFC-B417-E5285FBE2D66}"
17,"ME-VR2","2018-06-14 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{9A24DE85-A239-4AB5-BFD9-F347423F92AE}"
18,"408M03115","2018-06-19 00:00:00","3.00000000","3.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{4D956DEE-ED1C-4A22-B3D0-49918E76F729}"
19,"404M04624","2018-06-19 00:00:00","3.00000000","3.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{99D6AD3C-0F78-404E-92E4-959423274270}"
20,"SMC00271","2018-06-25 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{BBAE5EA9-CA48-4AFD-9914-8EA68986CE23}"
21,"SMC00027","2018-06-26 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{5C7C5E6B-F34F-4946-B34E-D956751CC530}"
22,"410M01628","2018-06-28 00:00:00","5.00000000","6.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{C924D994-6CA4-4184-B720-2A41A5F86302}"
23,"ME-CC","2018-06-28 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{75C16C69-1025-4E43-B387-98E7A25E186C}"
24,"SMC00324","2018-07-11 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{82F0FFED-9591-414C-B09B-8C5594EF5709}"
25,"SMC00836","2018-07-11 00:00:00","4.00000000","4.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{B0C271C0-E71F-435A-A69B-4149F958B57B}"
26,"402M00082","2018-07-23 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{49B569DD-46D9-4AF6-B5B6-4B09A5A21256}"
27,"402M00066","2018-07-23 00:00:00","1.00000000","1.00000000","","checker","2020-02-19 07:10:17","checker","2020-02-19 07:10:17","pauls@sccwrp.org","ABCL","Carlsbad_WMA","2019","SMC","{6482164C-A119-4548-B3E6-90AD3F462987}"
