objectid,stationid,sampledate,latitude,longitude,depth,stratum,areaqweight,plasticpolymer,plastictype,count
1,B13-8002,2013-08-05,32.556619,-117.128254,1,Estuaries,0.09,NA,NA,0
2,B13-8008,2013-08-05,32.558332,-117.120558,1,Estuaries,0.09,NA,NA,0
3,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,HDPE,Fragments,1
4,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,HDPE,Line,8
5,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,Nylon,Fragments,12
6,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,PVC,Fragments,5
7,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,PET (or PC),Fragments,7
8,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,PET (or PC),Film,7
9,B13-8013,2013-08-26,32.62360121,-117.1334604,3,Marina,0.25,Unknown,Unknown,0
10,B13-8014,2013-08-26,32.626539,-117.134678,3,Marina,0.25,Nylon,Film,1
11,B13-8014,2013-08-26,32.626539,-117.134678,3,Marina,0.25,Unknown,Unknown,92
12,B13-8017,2013-08-11,32.63156925,-117.1308396,4,Bay,3.21000004,HDPE,Film,1
13,B13-8017,2013-08-11,32.63156925,-117.1308396,4,Bay,3.21000004,Nylon,Fragments,2
14,B13-8017,2013-08-11,32.63156925,-117.1308396,4,Bay,3.21000004,Nylon,Line,1
15,B13-8017,2013-08-11,32.63156925,-117.1308396,4,Bay,3.21000004,Unknown,Unknown,0
16,B13-8018,2013-09-06,32.63420491,-117.1073894,1,Port,0.27000001,NA,NA,0
17,B13-8020,2013-08-11,32.64179222,-117.1314133,5,Bay,3.21000004,HDPE,Fragments,1
18,B13-8020,2013-08-11,32.64179222,-117.1314133,5,Bay,3.21000004,PS,Line,1
19,B13-8020,2013-08-11,32.64179222,-117.1314133,5,Bay,3.21000004,Nylon,Line,4
20,B13-8020,2013-08-11,32.64179222,-117.1314133,5,Bay,3.21000004,PVC,Line,1
21,B13-8020,2013-08-11,32.64179222,-117.1314133,5,Bay,3.21000004,Unknown,Unknown,0
22,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,PU,Foam Foam,1
23,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,HDPE,Fragments,1
24,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,HDPE,Line,6
25,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,HDPE,Film,3
26,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,LDPE/LLDPE,Line,1
27,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,PS,Film,1
28,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,Nylon,Fragments,1
29,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,Nylon,Film,1
30,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,PVC,Film,1
31,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,PET (or PC),Fragments,1
32,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,PET (or PC),Film,2
33,B13-8029,2013-08-11,32.64693618,-117.118238,10,Bay,0.2,Unknown,Unknown,0
34,B13-8043,2013-08-05,32.650342,-117.105099,3,Estuaries,0.28,HDPE,Fragments,2
35,B13-8043,2013-08-05,32.650342,-117.105099,3,Estuaries,0.28,PS,Fragments,1
36,B13-8043,2013-08-05,32.650342,-117.105099,3,Estuaries,0.28,Nylon,Fragments,13
37,B13-8043,2013-08-05,32.650342,-117.105099,3,Estuaries,0.28,Nylon,Film,2
38,B13-8045,2013-08-30,32.65155019,-117.122464,12,Port,0.82999998,HDPE,Film,1
39,B13-8045,2013-08-30,32.65155019,-117.122464,12,Port,0.82999998,Nylon,Fragments,1
40,B13-8045,2013-08-30,32.65155019,-117.122464,12,Port,0.82999998,Nylon,Line,1
41,B13-8045,2013-08-30,32.65155019,-117.122464,12,Port,0.82999998,PET (or PC),Fragments,3
42,B13-8045,2013-08-30,32.65155019,-117.122464,12,Port,0.82999998,Unknown,Unknown,0
43,B13-8052,2013-08-27,32.65833862,-117.1442177,5,Bay,3.21000004,NA,NA,0
44,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,HDPE,Line,1
45,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,HDPE,Film,1
46,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,Nylon,Whole objects,1
47,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,Nylon,Line,1
48,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,PET (or PC),Fragments,39
49,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,Unknown,Unknown,46
50,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,Metal,Metal,2
51,B13-8056,2013-08-12,32.66061292,-117.1233901,10,Port,0.57999998,Glass,Glass,2
52,B13-8058,2013-08-30,32.66147121,-117.1440967,5,Bay,3.21000004,Unknown,Unknown,3
53,B13-8060,2013-08-27,32.66518364,-117.1498045,4,Bay,3.21000004,Nylon,Line,1
54,B13-8060,2013-08-27,32.66518364,-117.1498045,4,Bay,3.21000004,PET (or PC),Pellets,1
271,B13-8338,2013-09-06,33.73515,-118.09149,46,Port,0.94999999,NA,NA,0
55,B13-8060,2013-08-27,32.66518364,-117.1498045,4,Bay,3.21000004,Unknown,Unknown,0
56,B13-8065,2013-08-12,32.671353,-117.119134,7,Port,0.57999998,Nylon,Fragments,1
57,B13-8065,2013-08-12,32.671353,-117.119134,7,Port,0.57999998,PET (or PC),Fragments,16
58,B13-8065,2013-08-12,32.671353,-117.119134,7,Port,0.57999998,Unknown,Unknown,102
59,B13-8065,2013-08-12,32.671353,-117.119134,7,Port,0.57999998,Metal,Metal,1
60,B13-8068,2013-08-30,32.67547188,-117.1438413,5,Bay,2.41000009,Nylon,Line,1
61,B13-8068,2013-08-30,32.67547188,-117.1438413,5,Bay,2.41000009,Unknown,Unknown,0
62,B13-8073,2013-08-29,32.680331,-117.174759,5,Marina,0.25,PU,Foam Foam,1
63,B13-8073,2013-08-29,32.680331,-117.174759,5,Marina,0.25,PET (or PC),Fragments,1
64,B13-8073,2013-08-29,32.680331,-117.174759,5,Marina,0.25,Unknown,Unknown,68
65,B13-8073,2013-08-29,32.680331,-117.174759,5,Marina,0.25,Metal,Metal,8
66,B13-8078,2013-08-27,32.68672299,-117.1485937,13,Bay,2.41000009,HDPE,Line,1
67,B13-8078,2013-08-27,32.68672299,-117.1485937,13,Bay,2.41000009,Nylon,Line,1
68,B13-8078,2013-08-27,32.68672299,-117.1485937,13,Bay,2.41000009,Nylon,Film,3
69,B13-8078,2013-08-27,32.68672299,-117.1485937,13,Bay,2.41000009,Combo,Combo Plastic,1
70,B13-8078,2013-08-27,32.68672299,-117.1485937,13,Bay,2.41000009,Unknown,Unknown,9
71,B13-8078,2013-08-27,32.68672299,-117.1485937,13,Bay,2.41000009,Combo,Combo Other,1
72,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,HDPE,Fragments,6
73,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,HDPE,Line,1
74,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,PP,Line,1
75,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,Nylon,Fragments,1
76,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,Nylon,Line,2
77,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,PET (or PC),Fragments,2
78,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,PET (or PC),Line,2
79,B13-8085,2013-09-10,32.69168677,-117.2382438,15,Port,0.82999998,Unknown,Unknown,4
80,B13-8087,2013-08-29,32.69172103,-117.1532169,13,Port,0.82999998,Nylon,Film,1
81,B13-8087,2013-08-29,32.69172103,-117.1532169,13,Port,0.82999998,Unknown,Unknown,43
82,B13-8093,2013-08-29,32.69560095,-117.1625573,14,Bay,2.41000009,PS,Fragments,1
83,B13-8093,2013-08-29,32.69560095,-117.1625573,14,Bay,2.41000009,Nylon,Fragments,28
84,B13-8093,2013-08-29,32.69560095,-117.1625573,14,Bay,2.41000009,Nylon,Line,2
85,B13-8093,2013-08-29,32.69560095,-117.1625573,14,Bay,2.41000009,PET (or PC),Fragments,1
86,B13-8093,2013-08-29,32.69560095,-117.1625573,14,Bay,2.41000009,Unknown,Unknown,35
87,B13-8100,2013-08-29,32.70239978,-117.1617805,9,Port,0.57999998,HDPE,Film,1
88,B13-8100,2013-08-29,32.70239978,-117.1617805,9,Port,0.57999998,Nylon,Fragments,3
89,B13-8100,2013-08-29,32.70239978,-117.1617805,9,Port,0.57999998,Unknown,Unknown,66
90,B13-8100,2013-08-29,32.70239978,-117.1617805,9,Port,0.57999998,Glass,Glass,1
91,B13-8100,2013-08-29,32.70239978,-117.1617805,9,Port,0.57999998,Combo,Combo Other,3
92,B13-8102,2013-09-10,32.71154327,-117.2325516,7,Marina,0.25,HDPE,Fragments,2
93,B13-8102,2013-09-10,32.71154327,-117.2325516,7,Marina,0.25,HDPE,Line,1
94,B13-8102,2013-09-10,32.71154327,-117.2325516,7,Marina,0.25,PET (or PC),Fragments,1
95,B13-8102,2013-09-10,32.71154327,-117.2325516,7,Marina,0.25,Unknown,Unknown,441
96,B13-8102,2013-09-10,32.71154327,-117.2325516,7,Marina,0.25,Too small to test,Too small to test,16
97,B13-8102,2013-09-10,32.71154327,-117.2325516,7,Marina,0.25,Metal,Metal,2
98,B13-8105,2013-09-10,32.71227536,-117.2139665,4,Bay,3.21000004,Unknown,Unknown,14
99,B13-8106,2013-09-10,32.712329,-117.232133,6,Marina,0.25,HDPE,Line,1
100,B13-8106,2013-09-10,32.712329,-117.232133,6,Marina,0.25,Nylon,Line,1
101,B13-8106,2013-09-10,32.712329,-117.232133,6,Marina,0.25,Unknown,Unknown,96
102,B13-8106,2013-09-10,32.712329,-117.232133,6,Marina,0.25,Too small to test,Too small to test,7
103,B13-8106,2013-09-10,32.712329,-117.232133,6,Marina,0.25,Metal,Metal,4
104,B13-8109,2013-08-28,32.7149627,-117.1829068,12,Bay,2.41000009,Nylon,Fragments,1
105,B13-8109,2013-08-28,32.7149627,-117.1829068,12,Bay,2.41000009,PET (or PC),Fragments,5
106,B13-8109,2013-08-28,32.7149627,-117.1829068,12,Bay,2.41000009,Unknown,Unknown,11
107,B13-8111,2013-09-09,32.71609177,-117.1739526,12,Port,0.27000001,HDPE,Line,1
108,B13-8111,2013-09-09,32.71609177,-117.1739526,12,Port,0.27000001,HDPE,Film,3
109,B13-8111,2013-09-09,32.71609177,-117.1739526,12,Port,0.27000001,PS,Fragments,2
110,B13-8111,2013-09-09,32.71609177,-117.1739526,12,Port,0.27000001,Nylon,Film,1
111,B13-8111,2013-09-09,32.71609177,-117.1739526,12,Port,0.27000001,Unknown,Unknown,31
112,B13-8112,2013-09-09,32.7161897,-117.1762365,13,Port,0.82999998,PET (or PC),Fragments,3
113,B13-8112,2013-09-09,32.7161897,-117.1762365,13,Port,0.82999998,Unknown,Unknown,72
114,B13-8113,2013-09-10,32.71688694,-117.2252125,5,Marina,0.25,PS,Foam Foam,2
115,B13-8113,2013-09-10,32.71688694,-117.2252125,5,Marina,0.25,Unknown,Unknown,235
116,B13-8113,2013-09-10,32.71688694,-117.2252125,5,Marina,0.25,Too small to test,Too small to test,35
117,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,PU,Foam Foam,1
118,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Nylon,Line,2
119,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Nylon,Film,3
120,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Unknown,Unknown,706
121,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Too small to test,Too small to test,17
122,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Combo,Combo Other,6
123,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,HDPE,Fragments,1
