objectid,stationid,sampledate,trawlnumber,lat,lon,final_stratum,areaweight,region,debristype,debriscount,comments,Plastic_count,Recyclable_count,Misc_count,Metal_count,Biodegrable_count,Fabric_Cloth_count,trash_present
2269,B18-10231,8/8/2018 0:00,1,33.30713,-117.5233,Inner Shelf,40.43039795,North San Diego Shelf,Kelp Stipe/Blade,2,Rotted blades,0,0,0,0,0,0,0
2270,B18-10237,8/1/2018 0:00,1,32.65979,-117.1684,Inner Shelf,40.43039795,South San Diego Shelf,Cup,1,Yogurt container,1,0,0,0,0,0,1
2271,B18-10237,8/1/2018 0:00,1,32.65979,-117.1684,Inner Shelf,40.43039795,South San Diego Shelf,Kelp Stipe/Blade,-88,Blades and fragments,0,0,0,0,0,0,1
2272,B18-10265,8/8/2018 0:00,1,33.26988,-117.565,Mid Shelf,67.32610042,North San Diego Shelf,Other Foliose Algae,-88,,0,0,0,0,0,0,1
2273,B18-10266,8/8/2018 0:00,1,33.2656,-117.5334,Mid Shelf,67.32610042,North San Diego Shelf,Kelp Stipe/Blade,-88,Kelp blade fragments,0,0,0,0,0,0,1
2274,B18-10267,8/8/2018 0:00,1,33.21766,-117.4805,Mid Shelf,67.32610042,North San Diego Shelf,Kelp Stipe/Blade,3,Kelp blade pieces,0,0,0,0,0,0,1
2275,B18-10267,8/8/2018 0:00,1,33.21766,-117.4805,Mid Shelf,67.32610042,North San Diego Shelf,Other Foliose Algae,1,Piece of Egregia,0,0,0,0,0,0,1
2276,B18-10267,8/8/2018 0:00,1,33.21766,-117.4805,Mid Shelf,67.32610042,North San Diego Shelf,Can - other,1,Can fragment,0,1,0,0,0,0,1
2277,B18-10269,8/7/2018 0:00,1,33.08783,-117.3509,Mid Shelf,67.32610042,North San Diego Shelf,Other Plastic (comment req.),1,PVC pipe (1.2 kg),1,0,0,0,0,0,1
2278,B18-10269,8/7/2018 0:00,1,33.08783,-117.3509,Mid Shelf,67.32610042,North San Diego Shelf,Other Metal (comment req.),1,Tea pot - aluminum (0.3 kg),0,0,0,1,0,0,1
2279,B18-10277,8/1/2018 0:00,1,32.58963,-117.2643,Mid Shelf,67.32610042,South San Diego Shelf,Kelp Stipe/Blade,-88,Blades; few fragments,0,0,0,0,0,0,1
2280,B18-10278,8/1/2018 0:00,1,32.55149,-117.1994,Mid Shelf,67.32610042,South San Diego Shelf,Foliose Algae - not kelp,-88,Fragments,0,0,0,0,0,0,1
2281,B18-10278,8/1/2018 0:00,1,32.55149,-117.1994,Mid Shelf,67.32610042,South San Diego Shelf,Kelp Holdfast,2,,0,0,0,0,0,0,1
2282,B18-10278,8/1/2018 0:00,1,32.55149,-117.1994,Mid Shelf,67.32610042,South San Diego Shelf,Kelp Stipe/Blade,-88,Fragments,0,0,0,0,0,0,1
2283,B18-10320,9/6/2018 0:00,1,32.58576,-117.3406,Outer Shelf,23.28776249,South San Diego Shelf,Plastic Piece (unid.),1,Fish tag; Photo taken,1,0,0,0,0,0,1
2284,B18-10348,8/9/2018 0:00,1,33.09386,-117.417,Upper Slope,125.2249344,San Diego Slope,Food Bag/Wrapper,1,Foil on one side balloon (photo taken),1,0,0,0,0,0,1
2285,B18-10348,8/9/2018 0:00,1,33.09386,-117.417,Upper Slope,125.2249344,San Diego Slope,Plastic Piece (unid.),1,Electrical tape (photo taken),1,0,0,0,0,0,1
2286,B18-10349,8/7/2018 0:00,2,33.05062,-117.3895,Upper Slope,125.2249344,San Diego Slope,None,0,No problem with trawl,0,0,0,0,0,0,1
2287,B18-10350,9/5/2018 0:00,1,32.70487,-117.3537,Upper Slope,125.2249344,San Diego Slope,Plastic Piece (unid.),1,Small,1,0,0,0,0,0,1
2288,B18-10351,9/6/2018 0:00,1,32.69303,-117.3948,Upper Slope,125.2249344,San Diego Slope,Food Bag/Wrapper,1,"Small piece (1"" x 1""); Photo taken",1,0,0,0,0,0,1
2289,B18-10351,9/6/2018 0:00,1,32.69303,-117.3948,Upper Slope,125.2249344,San Diego Slope,Rag/Cloth,2,Cotton; Rib knit; Photo taken,0,0,0,0,0,2,1
2290,B18-10351,9/6/2018 0:00,1,32.69303,-117.3948,Upper Slope,125.2249344,San Diego Slope,Other Misc. (comment req.),1,49 cm; Cotton rope,0,0,1,0,0,0,1
2291,B18-10875,8/9/2018 0:00,1,33.1753,-117.4036,Inner Shelf,40.43039795,San Diego Shelf,Kelp Stipe/Blade,1,Fragments,0,0,0,0,0,0,1
