stationid,sample_date,latitude,longitude,stratum,area_weight,smcshed,county,location,totalcount,totalbiodegradable,totalbiohazard,totalconstruction,totalfabric_Cloth,totalglass,totallarge,totalmetal,totalmiscellaneous,totalplastic,totaltoxic,trash_present
SMC01912,7/12/2012,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,61,8,1,0,0,0,0,2,0,27,23,1
SMC01923,7/12/2011,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,31,1,0,0,8,0,0,0,0,21,1,1
SMC01934,6/15/2012,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,69,6,1,2,0,4,0,4,0,44,8,1
SMC01982,6/25/2013,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,80,11,0,0,4,3,0,0,4,42,16,1
SMC01987,6/15/2012,33.590288,-117.711855,Urban,4.74449965,SanJuan,ORANGE,Aliso Creek,29,4,0,0,0,1,0,0,2,21,1,1
SMC01990,9/15/2013,32.796538,-117.113274,Urban,1.86701805,MissionBaySanDiego,SAN DIEGO,NA,50,1,0,0,2,0,0,0,2,44,1,1
SMC02028,7/12/2012,34.128683,-118.165539,Urban,1.23126804,LosAngeles,LOS ANGELES,Arroyo Seco,8,2,1,0,2,0,0,0,0,1,2,1
SMC02088,6/14/2011,34.302261,-118.259597,Open,0.73083398,LosAngeles,LOS ANGELES,Alder Creek,2,0,0,1,0,0,0,0,0,1,0,1
SMC02092,6/14/2011,34.279482,-118.206846,Open,2.37724297,LosAngeles,LOS ANGELES,Big Tujunga Creek,0,0,0,0,0,0,0,0,0,0,0,0
SMC02123,7/5/2011,34.108137,-117.201677,Urban,1.61013307,UpperSantaAna,SAN BERNARDINO,City Creek,12,0,0,0,1,0,0,0,0,11,0,1
SMC02145,7/19/2011,33.269344,-117.031468,Agriculture,1.67395411,NorthernSanDiego,SAN DIEGO,Keyes Creek,1,1,0,0,0,0,0,0,0,0,0,1
SMC02174,5/29/2013,34.005119,-117.969223,Urban,8.49326098,SanGabriel,LOS ANGELES,San Gabriel River,1,0,0,0,0,0,0,0,0,0,1,1
SMC02206,7/19/2011,33.870989,-117.850027,Urban,0.70360045,LowerSantaAna,ORANGE,Carbon Cyn Channel,44,0,0,0,0,0,0,5,4,33,2,1
SMC02208,5/29/2013,34.128351,-117.774842,Urban,11.67592376,SanGabriel,LOS ANGELES,Marshal Creek,22,1,0,7,0,0,0,1,1,11,1,1
SMC02232,6/3/2013,34.232415,-118.552402,Urban,5.62694477,LosAngeles,LOS ANGELES,Lime Kiln Canyon Wash,43,2,1,0,0,1,0,4,0,27,8,1
SMC02270,10/3/2013,33.795739,-117.772416,Urban,0.92112577,LowerSantaAna,ORANGE,NA,66,16,0,0,0,7,0,6,0,27,10,1
SMC02284,5/29/2013,34.065423,-117.949399,Urban,3.98165025,SanGabriel,LOS ANGELES,Walnut Creek,13,1,0,0,1,0,0,3,0,8,0,1
SMC02302,7/15/2013,33.815305,-118.041286,Urban,5.3447683,SanGabriel,ORANGE,Carbon Creek,85,1,0,0,0,55,0,9,1,12,7,1
SMC02363,6/16/2011,34.558855,-119.154565,Open,1.97147027,SantaClara,VENTURA,Sespe Creek (upper),0,0,0,0,0,0,0,0,0,0,0,0
SMC02417,7/20/2011,33.133854,-117.062362,Urban,3.7549644,CentralSanDiego,SAN DIEGO,Escondido Creek,33,0,1,0,0,25,0,5,1,1,0,1
SMC02464,6/22/2011,34.246354,-117.643214,Open,0.89481194,MiddleSantaAna,SAN BERNARDINO,San Antonio Creek,17,1,0,0,2,0,0,9,0,5,0,1
