stationid,sample_date,latitude,longitude,stratum,areaweight,smcshed,County,location,trash_present,type,count,county
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Biodegradable,8,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Biohazard,1,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Construction,0,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Fabric Cloth,0,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Glass,0,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Large,0,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Metal,2,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Miscellaneous,0,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Plastic,27,Los Angeles
SMC01912,7/12/12,34.234296,-118.602959,Urban,6.75388271,LosAngeles,LOS ANGELES,Santa Susa Creek,1,Toxic,23,Los Angeles
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Biodegradable,1,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Biohazard,0,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Construction,0,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Fabric Cloth,8,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Glass,0,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Large,0,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Metal,0,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Miscellaneous,0,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Plastic,21,Orange
SMC01923,7/12/11,33.672216,-117.788723,Urban,0.92112577,LowerSantaAna,ORANGE,San Diego Creek,1,Toxic,1,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Biodegradable,6,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Biohazard,1,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Construction,2,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Fabric Cloth,0,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Glass,4,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Large,0,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Metal,4,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Miscellaneous,0,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Plastic,44,Orange
SMC01934,6/15/12,33.490002,-117.665955,Urban,4.40305147,SanJuan,ORANGE,Arroyo Trabuco Creek,1,Toxic,8,Orange
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Biodegradable,11,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Biohazard,0,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Construction,0,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Fabric Cloth,4,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Glass,3,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Large,0,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Metal,0,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Miscellaneous,4,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Plastic,42,Los Angeles
SMC01982,6/25/13,33.91694,-118.038364,Urban,7.19981454,SanGabriel,LOS ANGELES,Milan Creek,1,Toxic,16,Los Angeles
SMC01987,6/15/12,33.590288,-117.711855,Urban,4.74449965,SanJuan,ORANGE,Aliso Creek,1,Biodegradable,4,Orange
